,ID,Name,RA,DEC,Obj. Type,Repeater of Primary Burst,DM,DM-Err,DM-Units,Gal. DM Limit,Gal. DM Model,Barycentric Datetime,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery_time_inff,time_delay,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
61,56407,FRB 20191110A,13:52:16.800,+48:15:00.00,FRB,20190303A,226.45,6.47,pc/cc,29.36,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,61303573,,,1,1,2020-03-27,,,311106778.6551848,-5.8678151877345694,2019-11-10 18:33:01.523,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
62,56406,FRB 20191107A,04:23:24.000,+73:35:24.00,FRB,20180814A,194.1,12.94,pc/cc,103.35,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,60954679,,,1,1,2020-03-27,,,310857785.11844414,-5.029555875201059,2019-11-07 21:23:07.148,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
63,56405,FRB 20191030B,02:15:09.600,+65:44:24.00,FRB,20180916B,346.14,3.23,pc/cc,192.72,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,60073678,,,1,1,2020-03-27,,,310117306.7867549,-8.969245083163806,2019-10-30 07:41:52.756,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
64,56404,FRB 20191030A,01:59:14.400,+65:43:12.00,FRB,20180916B,346.14,3.23,pc/cc,198.04,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,60073222,,,1,1,2020-03-27,,,310116831.0267549,-8.969245083163806,2019-10-30 07:33:56.996,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
65,56403,FRB 20191029B,13:58:45.600,+48:15:36.00,FRB,20190303A,221.6,1.62,pc/cc,29.37,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,60011290,,,1,1,2020-03-27,,,310073043.5648589,-5.742141071326918,2019-10-29 19:24:06.307,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
66,56402,FRB 20191029A,04:05:12.000,+73:38:24.00,FRB,20180814A,190.86,3.23,pc/cc,91.89,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,59993356,,,1,1,2020-03-27,,,310038116.7303996,-4.945600383002959,2019-10-29 09:41:58.676,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
67,65593,FRB 20191021A,08:19:52.800,+46:24:00.00,FRB,,386.58,1.62,pc/cc,50.9,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,59326425,,,1,1,2020-08-31,,,309363481.599866,-10.017134004303069,2019-10-21 14:18:08.617,CHIME_FRB_bot,,2020TNSFR2695....1C,,
68,56401,FRB 20191020A,13:45:28.800,+48:15:36.00,FRB,20190303A,221.6,1.62,pc/cc,29.14,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,59240332,,,1,1,2020-03-27,,,309296928.14185894,-5.742141071326918,2019-10-20 19:48:50.884,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
69,56400,FRB 20191018A,11:59:45.600,+85:57:36.00,FRB,20190212A,302.47,1.62,pc/cc,49.27,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,58983056,,,1,1,2020-03-27,,,309119608.4683402,-7.837659791715943,2019-10-18 18:33:33.306,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
70,56399,FRB 20191013A,14:00:38.400,+48:15:00.00,FRB,20190303A,226.45,6.47,pc/cc,29.73,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,57637940,,,1,1,2020-03-27,,,308694683.4081848,-5.8678151877345694,2019-10-13 20:31:26.276,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
71,56398,FRB 20190929A,19:39:38.400,+59:23:24.00,FRB,20190417A,1381.34,3.23,pc/cc,78.38,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,56545002,,,1,1,2020-03-27,,,307422842.9144569,-35.79354308423613,2019-09-29 03:14:35.708,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
72,56397,FRB 20190926A,12:41:31.200,+65:07:48.00,FRB,20181119A,368.79,6.47,pc/cc,34.02,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,56202568,,,1,1,2020-03-27,,,307225162.19184387,-9.556156162882013,2019-09-26 20:19:28.748,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
